"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Torrey Craig","Chi","F","33.1","27","21.2","12.6","10.3","23","0.783","63","0.476","76","0.382","0.529","0.553","6.1","4.8","1","0.6","0.4","0.6","10.9","7.1","12","5.8","119.3","106.2"
"","Larry Nance Jr.","Nor","F-C","31.1","27","17.7","12.6","17.9","28","0.786","73","0.644","32","0.469","0.662","0.686","6","5.2","1.3","1","0.4","0.9","11.2","7.2","12.4","7.8","128.6","106"
"","James Wiseman","Det","C","22.8","29","14.6","15.3","18","34","0.618","112","0.688","2","0","0.675","0.679","6","4.1","0.6","0.1","0.7","0.9","10.2","6.7","10.8","6.7","121.4","110.1"
"","Xavier Tillman","Mem","C","25","31","20.4","16.2","12.9","35","0.4","144","0.472","51","0.235","0.441","0.442","6","4.7","1.7","1.2","1","0.9","10.7","7.7","12.4","7.1","97.4","106.7"
"","Julian Strawther","Den","G","21.8","33","13.9","19.9","7.5","23","0.696","70","0.486","115","0.322","0.484","0.5","5.9","1.5","1.1","0.5","0.2","0.5","7.4","7","8.5","6.1","103.4","108.4"
"","Dean Wade","Cle","F","27.2","35","22.1","10.2","9.8","19","0.789","23","0.565","134","0.403","0.599","0.614","5.8","4.5","0.9","0.9","0.3","0.5","10.3","6.7","11.2","5.2","123.5","103.8"
"","Nikola Jovic","Mia","F","20.6","18","17.6","16.6","16.3","20","0.55","47","0.383","45","0.422","0.505","0.516","5.8","4.6","2","0.3","0.4","1","10.3","7.8","12.3","8.6","105.7","103.3"
"","Mason Plumlee","Lac","F-C","33.9","12","16","12.7","14.5","34","0.588","35","0.686","0","0","0.686","0.681","5.7","4.6","1.2","0.4","0.3","0.5","10.3","6.8","11.4","7.9","137.1","107.6"
"","Sasha Vezenkov","Sac","F","28.5","33","12.7","17.6","6.5","10","0.7","62","0.581","96","0.375","0.57","0.576","5.7","2.6","0.4","0.5","0.2","0.3","8.2","6.1","8.7","5.7","116.7","112.1"
"","Jaylen Nowell","Mem","G","24.5","9","17.4","16.8","8.3","3","1","32","0.563","23","0.174","0.436","0.453","5.7","1.6","1.8","0.3","0","0.6","7.2","7.4","9","5.8","98.4","111.5"
"","Paul Reed","Phi","F","24.6","43","15.4","15.4","14.7","36","0.722","170","0.576","21","0.333","0.568","0.587","5.7","4.7","1.1","0.7","0.7","0.8","10.4","6.8","11.5","8","121.7","99.1"
"","Trendon Watford","Bro","F","23.2","31","12.2","19.4","15.6","29","0.828","107","0.579","28","0.357","0.57","0.602","5.7","2.9","1.6","0.5","0.2","0.8","8.6","7.3","10.2","9.8","119.4","104.9"
"","Dyson Daniels","Nor","G","20.9","44","22.2","12.6","15","48","0.646","128","0.539","98","0.276","0.485","0.506","5.7","3.8","2.7","1.3","0.3","0.9","9.5","8.4","12.2","7","111.7","107.7"
"","Jamal Cain","Mia","F","24.9","14","14.9","16.6","5.7","19","0.737","41","0.512","25","0.32","0.5","0.538","5.7","2.1","0.2","0.6","0.3","0.3","7.8","5.9","8","3.6","112.1","109.7"
"","Drew Eubanks","Pho","F-C","27","38","15.6","14.7","21.4","55","0.764","136","0.588","3","1","0.608","0.646","5.6","4.1","0.9","0.3","0.8","1","9.7","6.5","10.6","7","119.4","106.4"
"","Matisse Thybulle","Por","F","26.9","42","22.5","10","9.7","16","0.813","41","0.61","154","0.377","0.574","0.587","5.6","2","1.1","1.6","0.8","0.5","7.6","6.8","8.8","4.1","118.2","115.2"
"","Ochai Agbaji","Uta","G","23.8","46","20.1","12.3","12.4","20","0.75","99","0.566","134","0.328","0.524","0.536","5.6","2.6","0.9","0.6","0.6","0.7","8.2","6.5","9.1","4.7","106.6","115.6"
"","Kevon Looney","Gol","C","28","42","20.1","10.5","16.6","54","0.704","156","0.622","0","0","0.622","0.645","5.5","7","2.4","0.5","0.3","0.7","12.5","7.9","14.9","9","138.7","106.2"
"","Chimezie Metu","Pho","F-C","26.8","33","13","17","16.1","43","0.884","74","0.662","51","0.294","0.572","0.629","5.5","3.2","0.5","0.5","0.3","0.7","8.7","6","9.2","6.4","117.7","107.3"
"","Aaron Wiggins","Okc","G","25.1","41","12.8","14.8","12","29","0.759","102","0.637","45","0.533","0.687","0.701","5.5","2.2","0.9","0.4","0.1","0.5","7.7","6.3","8.5","6.9","132.2","108.1"
"","Dexter Dennis","Dal","G","25","4","7.5","33.1","13.5","3","0.333","11","0.818","8","0.125","0.553","0.541","5.5","2.3","1","0","0.3","0.8","7.8","6.5","8.8","12.4","100.6","114.6"
"","Patrick Beverley","Phi","G","35.5","40","18.6","13.5","15.8","49","0.755","92","0.522","89","0.303","0.489","0.528","5.4","3.1","2.6","0.5","0.4","0.9","8.4","8","11","7.6","114.1","107.1"
"","Pat Connaughton","Mil","G","31.1","38","21.3","10.2","10.7","19","0.737","47","0.617","120","0.375","0.578","0.59","5.4","3.2","1.7","0.4","0.2","0.5","8.7","7.2","10.4","5.8","123","115.1"
"","Gary Payton II","Gol","G","31.1","16","16.3","15","11.2","9","0.667","47","0.574","32","0.281","0.513","0.524","5.4","3","0.8","1.1","0.3","0.6","8.4","6.3","9.3","5.8","108.3","108"
"","Gabe Vincent","Lal","G","27.6","5","25.5","11.8","5.8","2","0.5","15","0.667","17","0.118","0.406","0.411","5.4","1","3","1.2","0","0.4","6.4","8.4","9.4","4","99.9","110.3"
"","Mike Muscala","Det","F-C","32.6","4","14.5","11.5","6.6","2","0.5","2","0.5","12","0.5","0.714","0.706","5.3","3.3","1.3","0.3","0.8","0.3","8.5","6.5","9.8","7.8","146.1","116.3"
"","Bismack Biyombo","Mem","C","31.4","30","23.9","10.6","24.2","46","0.478","119","0.563","0","0","0.563","0.56","5.2","6.4","1.7","0.3","1.1","1.3","11.6","6.9","13.3","6.4","108.6","104.6"
"","Jevon Carter","Chi","G","28.4","44","14","18.8","8.8","5","0.6","85","0.412","154","0.338","0.473","0.475","5.2","0.8","1.2","0.5","0.3","0.5","6","6.4","7.2","4.9","98.5","113.6"
"","Josh Okogie","Pho","F","25.4","38","18.5","13","13.2","83","0.735","80","0.525","71","0.239","0.447","0.523","5.2","2.8","1.3","0.9","0.5","0.6","7.9","6.5","9.3","5.8","116.9","110.7"
"","Jordan Nwora","Ind","F","25.4","18","10.1","22.5","12.7","11","0.818","46","0.565","36","0.306","0.518","0.541","5.2","1.8","1","0.3","0.1","0.7","7.1","6.2","8.1","8.3","105.9","113.4"
"","Jordan Goodwin","Pho","G","25.3","36","15.2","18.1","13.4","27","0.852","107","0.449","80","0.288","0.441","0.473","5.2","3.2","2.1","0.6","0.2","0.8","8.4","7.4","10.6","8.6","107.9","110.3"
"","Kris Dunn","Uta","G","29.9","38","17.6","13.8","21","18","0.667","116","0.526","53","0.377","0.538","0.548","5.1","2.9","4.2","0.9","0.4","1.2","8","9.3","12.2","9","117.9","109.1"
"","Luke Kornet","Bos","C-F","28.5","32","15","11.2","13.2","28","0.893","98","0.704","0","0","0.704","0.739","5.1","3.8","0.9","0.4","1","0.5","8.9","6","9.8","6.9","149.2","105.4"
"","Malachi Flynn","Tor","G","25.7","31","15.3","16.2","19.4","22","0.773","57","0.491","80","0.35","0.511","0.535","5.1","2.1","2.4","0.6","0.2","1.1","7.2","7.4","9.5","7.7","105.8","111.1"
"","Bryce McGowens","Cha","G","21.2","34","16.8","13","12.9","37","0.73","69","0.507","66","0.379","0.537","0.568","5.1","1.7","0.9","0.3","0.1","0.6","6.8","6","7.7","4.7","111.1","117.9"
"","Caleb Houstan","Orl","G","21","35","16","13.1","8.1","22","0.773","10","0.7","138","0.355","0.544","0.564","5.1","1.7","0.7","0.3","0","0.4","6.8","5.7","7.5","4.6","116.6","110.1"
"","Anthony Black","Orl","G","20","41","19.2","12.1","19.5","51","0.627","104","0.567","57","0.351","0.553","0.572","5.1","2.4","1.7","0.6","0.4","1","7.5","6.9","9.2","5.7","109.8","105.9"
"","Joe Ingles","Orl","F-G","36.3","30","18.4","12.7","20","20","0.85","46","0.413","78","0.41","0.54","0.569","5","2.6","3.4","0.7","0.1","1","7.7","8.5","11.1","7.7","118","106.3"
"","Kenyon Martin Jr.","Lac","F","23.1","2","15.7","17.9","16.4","2","0.5","5","0.6","5","0.2","0.45","0.46","5","1.5","0.5","1","0.5","1","6.5","5.5","7","4","86.9","108.4"
"","Isaiah Livers","Det","F","25.5","23","20.4","12.6","12.1","18","0.667","39","0.462","77","0.286","0.44","0.46","5","2.1","1.1","0.6","0.2","0.7","7","6","8.1","4.4","96.6","116.9"
"","Stanley Umude","Det","G","24.8","15","10.3","17.4","18.4","23","0.913","17","0.353","27","0.519","0.614","0.693","5","1.9","0.5","0.3","0.3","0.7","6.9","5.5","7.4","6.5","122.8","107.6"
"","MarJon Beauchamp","Mil","F","23.3","34","15.7","13.3","15.1","20","0.6","73","0.534","62","0.403","0.567","0.574","4.9","2.5","0.9","0.3","0.2","0.7","7.3","5.7","8.2","5.7","109.3","112.1"
"","Max Christie","Lal","G","21","36","17.2","13.8","15.6","30","0.8","79","0.481","77","0.325","0.484","0.517","4.9","2.7","1.1","0.4","0.3","0.8","7.5","5.9","8.6","5.7","97.4","110.5"
"","Taylor Hendricks","Uta","F","20.2","13","14","16.1","13.4","8","0.75","23","0.478","35","0.343","0.5","0.52","4.9","2.2","0.5","0.7","0.5","0.7","7.2","5.4","7.6","5","102.7","114.4"
"","Jarace Walker","Ind","F","20.4","15","11","18.9","11.1","7","0.857","34","0.471","30","0.4","0.531","0.552","4.9","1.9","1.3","0.6","0.3","0.5","6.8","6.3","8.1","8.3","114","113.9"
"","Jontay Porter","Tor","C-F","24.2","11","15.6","16.6","12.6","8","1","26","0.423","29","0.276","0.418","0.461","4.9","3.4","2.2","0.7","1","0.7","8.3","7.1","10.5","8.5","107.1","105.8"
"","Shake Milton","Min","G-F","27.3","35","13.3","18.5","15.3","44","0.818","97","0.474","52","0.25","0.44","0.496","4.8","1.4","1.4","0.5","0.1","0.8","6.1","6.1","7.5","6.3","100.3","104.3"
"","Nassir Little","Pho","F-G","24","26","14.3","13.5","11.2","20","0.85","43","0.698","52","0.308","0.568","0.602","4.8","2.3","0.6","0.4","0.3","0.5","7.1","5.4","7.7","5.3","118.9","110.8"
"","Delon Wright","Was","G","31.7","23","16.2","13.7","9.1","27","0.815","69","0.377","30","0.367","0.429","0.483","4.7","2.1","3","1.3","0.3","0.4","6.7","7.7","9.8","7.6","115.6","118.4"
"","Jae'Sean Tate","Hou","F","28.2","40","18.6","10.7","9.9","28","0.714","94","0.596","61","0.295","0.535","0.556","4.7","3.5","1.1","0.7","0.2","0.4","8.1","5.8","9.2","5.6","119.3","102.6"
"","Miles McBride","Nyk","G","23.4","32","9.9","18.1","7.7","12","0.75","46","0.435","73","0.466","0.597","0.607","4.7","0.7","0.9","0.4","0.1","0.3","5.4","5.7","6.4","5.8","125.4","105.8"
"","Skylar Mays","Lal","G","26.4","3","8.8","16.3","0","0","0","8","0.5","2","1","0.7","0.7","4.7","0.7","1.3","0.7","0","0","5.3","6","6.7","7.4","150","106.1"
"","JaVale McGee","Sac","C-F","36","33","8.2","23.3","23.8","40","0.625","96","0.656","3","0","0.636","0.648","4.6","3","0.4","0.2","0.6","0.9","7.5","5","8","8.6","109.6","102"
"","Dwight Powell","Dal","F-C","32.5","39","16","9.3","18","73","0.753","84","0.714","2","0.5","0.715","0.753","4.6","3.9","1.7","0.6","0.4","0.5","8.5","6.3","10.2","7.8","156.4","105.8"
"","Keita Bates-Diop","Pho","F","28","33","16","12.9","5.6","34","0.735","77","0.506","57","0.281","0.47","0.507","4.6","2.6","0.9","0.6","0.5","0.2","7.2","5.5","8.2","5.5","116.2","112.7"
"","Amir Coffey","Lac","G-F","26.6","30","15.7","10.4","11.4","16","0.813","45","0.689","48","0.438","0.672","0.69","4.6","1.6","0.6","0.3","0","0.4","6.2","5.2","6.8","4.2","130.7","113.4"
"","Jared Butler","Was","G","23.4","17","7.5","21.9","16.6","15","0.8","26","0.692","24","0.417","0.66","0.689","4.6","0.6","1.8","0.5","0.1","0.6","5.2","6.4","7.1","9.1","128.7","113.6"
"","Robert Covington","Phi","F","33.1","26","16.1","11.2","11","24","0.875","41","0.561","48","0.354","0.545","0.593","4.5","3.4","0.7","1.3","0.6","0.4","8","5.2","8.6","5.5","124.9","101.4"
"","Kenrich Williams","Okc","G-F","29.1","33","15.1","12.6","9.9","10","0.3","60","0.55","67","0.403","0.579","0.571","4.5","2.9","1.4","0.6","0.2","0.4","7.5","6","8.9","7","120.8","106.7"
"","Brandon Boston Jr.","Lac","G","22.2","8","7.4","27.8","8.5","6","1","18","0.5","14","0.286","0.469","0.52","4.5","1","0.5","0.1","0","0.4","5.5","5","6","7.1","108.1","102.3"
"","Jalen Wilson","Bro","F","23.2","11","9.2","17.4","8.5","15","1","24","0.583","8","0.25","0.531","0.635","4.5","2.2","0.8","0.3","0.1","0.3","6.6","5.3","7.5","8.7","140.5","112.6"
"","Eugene Omoruyi","Was","F","26.9","19","5.8","28.2","14","21","0.762","38","0.711","17","0.294","0.627","0.662","4.5","1.5","0.6","0.5","0.1","0.5","5.9","5.1","6.5","11","122.6","102.6"
"","DeAndre Jordan","Den","C","35.5","22","12.4","15.8","24","46","0.435","60","0.633","0","0","0.633","0.598","4.4","4.9","0.9","0.2","0.5","0.9","9.3","5.2","10.1","8.7","115.2","99.9"
"","Thomas Bryant","Mia","C-F","26.5","24","10.7","17.5","16.2","22","0.818","73","0.603","4","0","0.571","0.611","4.4","3.2","0.6","0.3","0.2","0.6","7.6","5","8.2","7.6","117.8","105"
"","Troy Brown Jr.","Min","G-F","24.5","34","11.6","15.7","13.7","22","0.864","32","0.625","81","0.37","0.575","0.607","4.4","2","1","0.2","0.1","0.5","6.4","5.4","7.4","7.1","117.9","106.9"
"","Jarred Vanderbilt","Lal","F","24.8","25","19.6","10.9","18.4","24","0.625","69","0.565","24","0.25","0.516","0.536","4.4","4.7","1","1","0.2","0.8","9.2","5.5","10.2","5.6","108.4","107.3"
"","Neemias Queta","Bos","C","24.5","17","12.4","13.9","9.9","18","0.778","54","0.556","0","0","0.556","0.598","4.4","4.4","0.4","0.4","0.5","0.4","8.8","4.8","9.2","6.4","132.6","93.2"
"","A.J. Lawson","Dal","G","23.5","20","9.7","18.5","11.5","15","0.733","34","0.588","35","0.343","0.551","0.575","4.4","1.3","0.6","0.5","0.1","0.5","5.7","4.9","6.2","6.2","112.7","113.5"
"","Orlando Robinson","Mia","C","23.5","19","12","15.8","17.7","20","0.7","48","0.5","12","0.583","0.575","0.603","4.4","3.3","1.4","0.3","0.4","0.7","7.6","5.8","9.1","9.1","120.9","102.4"
"","Mo Bamba","Phi","C","25.7","24","8.9","18.9","17.4","21","0.667","53","0.547","18","0.556","0.62","0.636","4.3","3","0.5","0.4","0.8","0.6","7.3","4.8","7.8","8.4","123","99.7"
"","Dru Smith","Mia","G","26.1","9","14.5","13.1","13","2","1","16","0.5","17","0.412","0.561","0.576","4.3","1.6","1.6","1","0.3","0.6","5.9","5.9","7.4","6.1","118.3","107"
"","Seth Curry","Dal","G","33.4","33","12.8","15.3","9.6","16","0.875","58","0.345","74","0.378","0.47","0.496","4.2","1.4","0.8","0.5","0.1","0.4","5.6","5","6.4","5.2","104","113.9"
"","Oshae Brissett","Bos","F-G","25.6","27","11.8","14.6","9.9","38","0.684","49","0.592","33","0.303","0.537","0.577","4.2","3","0.6","0.4","0.1","0.3","7.2","4.9","7.9","6.7","126.6","103.4"
"","Armoni Brooks","Bro","G","25.6","10","10.4","20","4.1","2","0.5","14","0.286","32","0.344","0.446","0.448","4.2","1.8","0.5","0.1","0.1","0.2","6","4.7","6.5","6","101.6","120.1"
"","Precious Achiuwa","Nyk","F","24.4","13","14.3","13.1","16","4","0.75","41","0.585","6","0.167","0.543","0.554","4.2","5","0.6","0.2","0.6","0.7","9.2","4.8","9.8","6.5","117.5","104.1"
"","Theo Maledon","Cha","G","22.6","13","15.4","18.7","18.4","12","0.917","36","0.389","30","0.167","0.326","0.379","4.2","1.8","2.2","0.5","0","1.2","5.9","6.3","8.1","6.6","83.5","115.9"
"","Ousmane Dieng","Okc","F","20.7","22","11.3","16.2","11.3","12","0.833","26","0.654","52","0.308","0.526","0.552","4.2","1.9","0.9","0.1","0","0.5","6","5","6.9","6.8","111.4","112.7"
"","Ryan Rollins","Was","G","21.6","10","6.6","25.3","21.6","17","0.765","22","0.5","3","0.667","0.56","0.631","4.1","1.1","1.1","0.8","0.3","0.7","5.2","5.2","6.3","10.3","115.2","109.2"
"","Dominick Barlow","San","F","20.7","19","12.8","14.1","5.5","22","0.591","61","0.459","7","0.429","0.478","0.502","4.1","3.4","1.1","0.4","0.5","0.2","7.5","5.2","8.5","7.8","117.1","111.3"
"","Evan Fournier","Nyk","G-F","31.2","3","12.9","24","4.7","2","1","5","0.4","15","0.133","0.25","0.287","4","1.3","1","1.3","0","0.3","5.3","5","6.3","5.4","72.4","101.1"
"","Mike Muscala","Was","F-C","32.6","24","14.1","14.3","15","20","0.75","39","0.487","51","0.275","0.444","0.481","4","3.1","1","0.2","0.3","0.7","7.1","4.9","8","6.6","100.5","115.7"
"","Danuel House Jr.","Phi","F-G","30.6","28","13.8","12.6","18.1","34","0.706","42","0.548","39","0.359","0.543","0.584","4","1.5","0.8","0.4","0.1","0.6","5.5","4.8","6.3","4.9","110.7","110"
"","Trevelin Queen","Orl","G","26.9","10","14.9","13.4","16.9","12","0.75","20","0.55","14","0.214","0.456","0.509","4","1.8","1.7","0.7","0.5","0.7","5.8","5.7","7.5","6.2","106.7","105.7"
"","Jeremiah Robinson-Earl","Nor","F","23.2","17","11.5","13.8","14.9","6","1","32","0.594","19","0.421","0.608","0.634","4","2.6","0.5","0.4","0.2","0.5","6.6","4.5","7.2","6","118.4","108.5"
"","James Bouknight","Cha","G","23.4","10","6.4","21.6","3.2","2","0.5","8","0.375","22","0.5","0.65","0.648","4","0.9","0.6","0","0.1","0.1","4.9","4.6","5.5","8.1","130.6","124"
"","Mamadi Diakite","San","F","27","3","5.3","20","0","6","0.667","5","0.8","0","0","0.8","0.785","4","1","0.7","0","0.3","0","5","4.7","5.7","10.6","167.4","118.9"
"","Keon Ellis","Sac","G","24","28","12.2","13.1","15.3","17","0.647","15","0.667","68","0.382","0.59","0.602","3.9","1.3","1.3","0.5","0.4","0.5","5.2","5.1","6.5","6.1","117.8","108.5"
"","Jacob Gilyard","Mem","G","25.5","27","16.6","10.5","15.5","1","1","17","0.353","75","0.413","0.571","0.573","3.9","1","3.3","0.6","0.1","0.6","5","7.3","8.3","5.6","125.4","114.1"
"","Thaddeus Young","Tor","F","35.6","16","12.4","13.6","11.6","7","0.571","49","0.551","4","0.25","0.538","0.544","3.8","2.5","2","0.9","0.1","0.4","6.3","5.8","8.3","8.6","122.5","105.3"
"","Patty Mills","Atl","G","35.5","13","11.8","13.1","14.3","0","0","15","0.333","27","0.481","0.583","0.583","3.8","1","0.9","0.5","0.1","0.5","4.8","4.7","5.7","5.1","111.9","114.1"
"","Tristan Thompson","Cle","C-F","32.9","36","12.4","13","19.8","42","0.31","92","0.663","1","0","0.656","0.605","3.8","3.9","1.1","0.2","0.3","0.6","7.6","4.9","8.8","8.2","122.4","102.7"
"","Maxi Kleber","Dal","C","32","10","19","10.9","20.8","13","0.692","14","0.5","20","0.25","0.426","0.478","3.8","3.4","1.8","0.2","0.7","0.9","7.2","5.6","9","6","103.7","108.5"
"","Tre Mann","Okc","G","23","13","9.2","17.9","18.2","1","1","21","0.571","19","0.421","0.6","0.606","3.8","1.8","1.5","0.2","0","0.7","5.6","5.3","7.2","9.4","115","114.7"
"","Yuta Watanabe","Pho","G-F","29.3","26","14.3","13.4","13.9","15","0.667","20","0.45","73","0.315","0.468","0.487","3.7","1.7","0.4","0.3","0.3","0.6","5.4","4.1","5.8","3.8","95.5","111.5"
"","Garrison Mathews","Atl","G","27.3","30","13","10.4","15.6","7","0.286","5","0.6","76","0.447","0.667","0.654","3.7","1.2","0.5","0.3","0.1","0.5","4.9","4.2","5.4","4","116","112.8"
"","Chris Duarte","Sac","G","26.6","35","13.2","14.3","13.8","24","0.75","58","0.414","67","0.313","0.444","0.476","3.7","1.8","0.9","0.5","0.1","0.6","5.5","4.6","6.4","5.5","98.4","105.9"
"","Davion Mitchell","Sac","G","25.4","33","12.5","15.2","11.4","18","0.722","60","0.483","64","0.266","0.44","0.462","3.7","1","1.8","0.2","0.1","0.5","4.7","5.5","6.5","6","104.8","113.5"
"","Harry Giles III","Bro","F-C","25.8","12","5.6","29.1","12.1","11","0.545","28","0.607","8","0.125","0.514","0.526","3.6","1.6","0.3","0.1","0.3","0.4","5.2","3.8","5.4","8.6","104.2","106.4"
"","Chuma Okeke","Orl","F","25.4","27","13.2","12.8","10.6","5","0.4","24","0.583","69","0.319","0.505","0.504","3.6","2.6","0.6","0.3","0.3","0.4","6.2","4.2","6.8","5.4","105.5","111.5"
"","Blake Wesley","San","G","20.9","23","10.8","14.9","15.1","21","0.476","53","0.66","14","0.071","0.545","0.544","3.6","1.1","2","0.3","0.1","0.5","4.7","5.7","6.8","7.4","114.9","110.8"
"","Jaylin Williams","Okc","F","21.6","36","11.6","13.9","11.8","16","0.875","39","0.462","73","0.37","0.522","0.55","3.6","3","1.3","0.4","0.3","0.4","6.6","4.9","7.9","8.3","116.7","100.5"
"","Kris Murray","Por","F","23.4","26","12.4","13.9","12.8","11","0.727","43","0.465","45","0.333","0.483","0.501","3.6","1.8","0.6","0.8","0.2","0.5","5.4","4.2","6","5.1","103.3","115.3"
"","Jake LaRavia","Mem","F","22.2","11","11.1","17.2","8.5","4","0.75","19","0.579","24","0.208","0.43","0.447","3.6","1.5","0.5","0.1","0.1","0.4","5.1","4.2","5.6","5","95.8","103.8"
"","Nate Williams","Hou","G","25","7","7.8","20.6","4.1","5","0.8","20","0.45","3","0.333","0.457","0.496","3.6","0.9","0.4","0.3","0","0.1","4.4","4","4.9","5.6","112.1","110.6"
"","Gradey Dick","Tor","G","20.2","23","12.6","15.2","15.6","15","1","26","0.385","55","0.291","0.42","0.474","3.6","1.2","1","0.4","0","0.7","4.8","4.6","5.8","5.2","96.6","111.7"
"","Ish Smith","Cha","G","35.6","35","16.4","12.7","24.6","4","0.75","119","0.479","6","0.333","0.48","0.485","3.5","1.7","3.1","0.4","0.1","1.2","5.2","6.6","8.3","6.4","100.6","120.7"
"","Justin Holiday","Den","F-G","34.8","26","13","9.9","7.8","0","0","22","0.636","49","0.429","0.641","0.641","3.5","1.2","1","0.6","0","0.2","4.7","4.5","5.7","5","129","110"
"","Devonte' Graham","San","G","28.9","10","8.8","16.5","9.6","8","0.75","8","0.5","20","0.35","0.518","0.555","3.5","1.3","1.9","0.3","0.1","0.3","4.8","5.4","6.7","9.3","124.4","118.8"
"","Oscar Tshiebwe","Ind","F-C","24.2","6","5.7","22.6","0","6","0.833","16","0.5","0","0","0.5","0.563","3.5","2","0.3","0.3","0","0","5.5","3.8","5.8","9","134.1","118.9"
"","Bol Bol","Pho","C-F","24.2","12","7.2","15.8","20.4","5","0.8","18","0.778","5","0.6","0.804","0.813","3.4","2.3","0.5","0.3","0.5","0.5","5.7","3.9","6.2","8.8","137","104"
"","Omer Yurtseven","Uta","C","25.6","25","10.3","16.5","22.4","10","0.6","61","0.574","15","0.2","0.52","0.529","3.4","4.1","0.5","0.2","0.4","0.9","7.5","3.9","8","7.4","100.3","104.9"
"","Vasilije Micic","Okc","G","30","24","11.9","14.7","19.7","13","0.769","37","0.568","36","0.25","0.473","0.502","3.3","0.7","2.5","0.4","0.1","0.8","4","5.8","6.5","6","107.6","112.6"
"","Richaun Holmes","Dal","F","30.3","18","9.8","15.8","17.2","18","0.5","48","0.521","0","0","0.521","0.528","3.3","3.5","0.5","0.1","0.3","0.6","6.8","3.8","7.3","7.3","113.5","106.3"
"","Charles Bassey","San","C-F","23.2","19","10.8","11.8","27.1","6","0.833","39","0.744","1","0","0.725","0.739","3.3","4","1.1","0.4","0.9","0.8","7.3","4.4","8.4","9","125.8","103"
"","John Konchar","Mem","G","27.8","35","17.5","9.7","14.3","12","0.75","45","0.533","69","0.29","0.474","0.49","3.3","4","1.6","0.7","0.9","0.5","7.3","4.9","8.9","6.3","111.2","109.4"
"","JT Thor","Cha","F","21.4","35","14.8","11.8","7.3","9","0.444","70","0.4","57","0.316","0.433","0.435","3.3","2.8","0.4","0.2","0.5","0.3","6.1","3.7","6.5","4.2","99.7","118.3"
"","AJ Green","Mil","G","24.3","27","7.6","14.8","0","4","1","10","0.5","60","0.417","0.607","0.62","3.3","0.8","0.6","0","0","0","4.1","3.9","4.7","6.1","135.8","111.9"
"","Jaden Springer","Phi","G","21.3","25","10.1","18.1","18.3","22","0.773","55","0.436","25","0.2","0.394","0.446","3.2","1.4","0.9","0.5","0.4","0.7","4.6","4.1","5.5","6.3","95","103.3"
"","Colin Castleton","Lal","C","23.7","5","6.4","15.8","9.6","4","1","9","0.667","0","0","0.667","0.743","3.2","1.8","0.6","0","0","0.2","5","3.8","5.6","9.4","152.6","99.6"
"","Davis Bertans","Okc","F","31.2","14","6.5","16","3.6","15","0.933","2","0","24","0.417","0.577","0.675","3.1","0.7","0.6","0.2","0.2","0.1","3.9","3.8","4.5","6.7","146.3","107.6"
"","Zeke Nnaji","Den","F-C","23","36","9.4","16.4","20.7","39","0.641","72","0.5","16","0.313","0.494","0.533","3.1","2.1","0.5","0.3","0.6","0.6","5.2","3.6","5.7","6.3","107.2","101.7"
"","Lindy Waters III","Okc","F","26.5","15","7.6","15.3","5","0","0","2","0.5","36","0.417","0.618","0.618","3.1","0.8","0.7","0","0.1","0.1","3.9","3.8","4.6","6.3","125","110.5"
"","Robert Covington","Lac","F","33.1","3","23.1","6.2","0","2","0.5","1","1","8","0.25","0.444","0.455","3","2.7","2.3","2","0.7","0","5.7","5.3","8","4.6","131.7","105.7"
"","Udoka Azubuike","Pho","C-F","24.4","11","8.3","12.8","17.3","9","0.333","19","0.789","0","0","0.789","0.719","3","2.3","0.3","0","0.5","0.4","5.3","3.3","5.5","6.1","128.9","100.6"
"","Jalen McDaniels","Tor","F-C","26","27","9.1","18.5","8.2","20","0.7","45","0.489","44","0.182","0.382","0.419","3","1.2","0.5","0.4","0.1","0.3","4.3","3.6","4.8","5.3","91.2","109.5"
"","Brandon Williams","Dal","G","24.2","6","5.9","21.3","13.2","6","0.333","9","0.556","4","0.5","0.615","0.575","3","0.8","1","0.2","0.2","0.3","3.8","4","4.8","9.1","118.5","119.2"
"","Olivier-Maxence Prosper","Dal","F","21.6","24","9.1","15.3","5.9","27","0.704","32","0.438","31","0.258","0.413","0.474","3","2.2","0.8","0.1","0.1","0.2","5.1","3.8","5.9","7.7","114.4","113"
"","Ben Sheppard","Ind","G","22.5","23","9.5","13.3","1.5","12","0.75","24","0.5","40","0.3","0.469","0.498","3","1.2","0.9","0.5","0","0","4.2","3.9","5.1","6.2","118.7","110.5"
"","Drew Peterson","Bos","F","24.2","1","2.6","16.6","0","0","0","0","0","1","1","1.5","1.5","3","0","1","0","0","0","3","4","4","0","0","0"
"","Dylan Windler","Lal","G-F","27.3","1","5.3","8.1","0","0","0","0","0","1","1","1.5","1.5","3","0","1","0","0","0","3","4","4","0","275.9","103.7"
"","Jordan Nwora","Tor","F","25.4","1","4.3","10","0","0","0","0","0","1","1","1.5","1.5","3","0","0","0","0","0","3","3","3","0","300","126"
