"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Sidy Cissoko","San","G","19.8","5","6.3","11.6","13.4","4","1","2","0.5","4","0","0.167","0.387","1.2","1.2","0","0.6","0","0.2","2.4","1.2","2.4","0","76.7","111.5"
"","DaQuan Jeffries","Nyk","G-F","26.4","10","3","19.7","7.7","2","0","7","0.571","5","0.2","0.458","0.427","1.1","0.5","0.2","0","0","0.1","1.6","1.3","1.8","6.4","0","0"
"","Admiral Schofield","Orl","F","26.8","12","3.9","18.5","21.1","2","0","6","0.5","9","0.222","0.4","0.378","1","0.6","0.3","0","0","0.3","1.6","1.3","1.9","5.8","0","0"
"","Dylan Windler","Nyk","G-F","27.3","3","2.5","11.5","0","0","0","0","0","2","0.5","0.75","0.75","1","0.3","0.3","0","0","0","1.3","1.3","1.7","7.2","0","0"
"","Charlie Brown Jr.","Nyk","G","26","3","1.5","55.3","33.3","0","0","1","0","3","0.333","0.375","0.375","1","0","0","0","0","0.7","1","1","1","0","0","0"
"","Xavier Moon","Lac","G","29.1","2","5.8","11.3","33.3","0","0","1","1","1","0","0.5","0.5","1","1","1.5","0","0","0.5","2","2.5","3.5","7.9","105.3","109.9"
"","Aleksej Pokusevski","Okc","F","22.1","8","6","15.3","18.5","2","0.5","4","0.5","9","0.111","0.269","0.288","1","1.1","0.6","0","0.1","0.4","2.1","1.6","2.8","5.8","73.3","107.8"
"","JD Davison","Bos","G","21.3","2","2.8","14.5","0","2","1","0","0","1","0","0","0.532","1","1","0","0","0","0","2","1","2","0","0","0"
"","Keyontae Johnson","Okc","F","23.7","4","8.2","14.5","27.3","0","0","7","0.286","1","0","0.25","0.25","1","1","1","0","0","0.8","2","2","3","4.9","68.9","115.9"
"","Alex Fudge","Lal","F","20.7","4","3.6","23.4","13.4","2","1","4","0.25","2","0","0.167","0.291","1","0.5","0","0","0","0.3","1.5","1","1.5","0","0","0"
"","Hamidou Diallo","Was","G","25.5","2","2.4","26.4","33.3","0","0","2","0.5","0","0","0.5","0.5","1","1","0.5","1","0","0.5","2","1.5","2.5","13.2","0","0"
"","Robin Lopez","Mil","C","35.8","12","2.8","11.4","11.8","2","1","2","0.5","5","0.4","0.571","0.635","0.8","0.3","0.3","0","0.1","0.1","1.1","1.1","1.3","5.9","0","0"
"","James Johnson","Ind","F","36.9","5","4.9","11.9","28.6","0","0","4","0.5","1","0","0.4","0.4","0.8","0.8","1","0.8","0","0.4","1.6","1.8","2.6","7","95.3","99.7"
"","Thanasis Antetokounmpo","Mil","F","31.5","18","4.1","12.5","36.4","0","0","14","0.5","0","0","0.5","0.5","0.8","0.4","0.5","0.1","0.2","0.4","1.2","1.3","1.7","5.3","88.9","103.1"
"","Julian Phillips","Chi","F","20.2","22","4.5","12.3","7.7","4","0.25","12","0.583","12","0.083","0.354","0.349","0.8","0.5","0.3","0","0.1","0.1","1.3","1.1","1.6","4.4","86.1","109"
"","Jalen Slawson","Sac","F","24.3","5","3.7","11.3","40","0","0","2","1","1","0","0.667","0.667","0.8","0.8","0.4","0","0.2","0.4","1.6","1.2","2","6.9","0","0"
"","Shaquille Harrison","Mem","G","30.3","3","2","14.3","0","0","0","2","0.5","0","0","0.5","0.5","0.7","0.7","0","0","0.3","0","1.3","0.7","1.3","0","0","0"
"","E.J. Liddell","Nor","F","23.1","6","2.8","20","26.9","2","1","1","1","4","0","0.2","0.34","0.7","0.5","0.2","0","0.3","0.3","1.2","0.8","1.3","5.9","0","0"
"","Jerome Robinson","Gol","G","26.9","7","3.8","18.6","0","6","0.667","4","0","5","0","0","0.172","0.6","0.4","0.3","0","0.1","0","1","0.9","1.3","4.4","0","0"
"","Juan Toscano-Anderson","Sac","F","30.8","11","4.8","11.3","14.3","0","0","8","0.25","4","0.25","0.292","0.292","0.6","1.3","0.4","0.1","0.1","0.2","1.9","1","2.3","5.7","83.9","96.7"
"","Wendell Moore Jr.","Min","G","22.4","11","2.8","9.9","28.6","0","0","3","1","2","0","0.6","0.6","0.5","0.3","0.1","0.4","0.1","0.2","0.8","0.6","0.9","3.5","0","0"
"","Jules Bernard","Was","G","24","4","3.9","27.1","10","0","0","2","0.5","7","0","0.111","0.111","0.5","0.3","0.3","0","0","0.3","0.8","0.8","1","3.6","0","0"
"","Kobe Bufkin","Atl","G","20.3","2","2.2","36.2","0","2","0.5","2","0","1","0","0","0.129","0.5","1","0","0","0","0","1.5","0.5","1.5","0","0","0"
"","Maxwell Lewis","Lal","F","21.5","15","4.1","10.6","33.3","0","0","7","0.143","3","0.333","0.25","0.25","0.3","0.2","0.2","0.1","0","0.3","0.5","0.5","0.7","2.2","48.9","117.4"
"","Hunter Tyson","Den","F","23.6","9","3","14.6","22.2","0","0","1","1","6","0","0.143","0.143","0.2","0.7","0.1","0","0","0.2","0.9","0.3","1","3.2","0","0"
"","Danny Green","Phi","G","36.6","2","9.3","4.6","0","0","0","1","0","1","0","0","0","0","1","0.5","0.5","0","0","1","0.5","1.5","0","33.6","110.6"
"","Ryan Arcidiacono","Nyk","G","29.8","17","2.5","6.1","0","0","0","0","0","6","0","0","0","0","0.4","0.2","0.1","0","0","0.4","0.2","0.6","0","0","0"
"","Kaiser Gates","Nor","F","27.2","1","7.4","23.2","0","0","0","2","0","2","0","0","0","0","1","0","0","0","0","1","0","1","0","0","119.4"
"","Marques Bolden","Mil","C","25.8","2","1.5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Filip Petrusev","Phi","C","23.8","1","2.7","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Johnny Juzang","Uta","G","22.9","1","4.4","18.8","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","1","1","0","35.5","127.5"
"","Usman Garuba","Gol","F","21.9","2","3.1","6.9","0","0","0","1","0","0","0","0","0","0","0","0.5","0.5","0","0","0","0.5","0.5","0","0","0"
"","Javonte Smart","Phi","G","24.6","1","0.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Malcolm Cazalon","Det","G","22.4","1","2.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Micah Potter","Uta","C","25.8","2","3.7","5.7","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","2","0","2","0","0","0"
"","Ron Harper Jr.","Tor","F","23.8","1","3.7","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0"
"","Isaiah Wong","Ind","G","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Jacob Toppin","Nyk","F","23.7","3","1.3","0","0","0","0","0","0","0","0","0","0","0","0","0.3","0","0.3","0","0","0.3","0.3","0","0","0"
"","Mouhamed Gueye","Atl","F","21.2","2","2.2","9.3","0","0","0","0","0","1","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0"
"","Dmytro Skapintsev","Nyk","C","25.7","2","1.1","20.2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Onuralp Bitim","Chi","F","24.8","1","3.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Kenneth Lofton Jr.","Phi","F","21.5","1","3.6","47.2","50","0","0","2","0","0","0","0","0","0","2","0","0","0","2","2","0","2","0","0","0"
"","Jordan Walsh","Bos","G","19.9","2","3.2","6.8","0","0","0","0","0","1","0","0","0","0","2.5","0.5","0","0","0","2.5","0.5","3","0","0","0"
"","Frank Ntilikina","Cha","G","25.5","2","6.2","10.5","33.3","0","0","0","0","2","0","0","0","0","0.5","0.5","0","0","0.5","0.5","0.5","1","0","20.7","119.6"
"","Kevon Harris","Orl","G","26.6","1","3.2","13.4","100","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0"
"","Pete Nance","Cle","F","23.9","2","2.1","20.6","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Trey Jemison","Was","C","24.2","2","0.8","28.1","100","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0.5","0.5","0","0.5","0","0","0"
